type1,type,date,title,description,link,img,featured
story,story,"October 30, 2024",Central Asia’s Ticking Time Bomb: Water,,https://apps.npr.org/aral-sea-shrinking-map/,ARAL4.mp4,FALSE
story,story,"October 10, 2024","These maps and images show what's left of Gaza, 1 year into the Israel-Hamas war",,https://www.npr.org/2024/10/09/g-s1-27175/israel-hamas-war-gaza-map,gaza.gif,TRUE
story,story,"June 17, 2024","Uber and Lyft are fighting minimum wage laws. But in this state, the drivers won",,https://www.npr.org/2024/06/17/nx-s1-4942958/uber-minimum-wage-minnesota-lyft-lobbying,lyft.png,FALSE
story,story,"May 13, 2024",The USDA’s gardening zones shifted: This map shows you what’s changed in vivid detail,,https://apps.npr.org/plant-hardiness-garden-map/,walker-title.gif,TRUE
story,story,"February 28, 2024",A tech billionaire is quietly buying up land in Hawaii. No one knows why,,https://www.npr.org/2024/02/28/1232564250/billionaire-benioff-buys-hawaii-land-salesforce,benioff.png,FALSE
story,story,"November 16, 2023",Only 51 of these U.S. whales remain. Little has been done to prevent their extinction,,https://www.npr.org/2023/11/16/1212690111/only-51-of-these-u-s-whales-remain-little-has-been-done-to-prevent-their-extinct,rices.mp4,TRUE
story,story,"October 6, 2023",The bruising artillery battle in Ukraine has left a scar that is visible from space,,https://www.npr.org/2023/10/06/1203372829/the-bruising-artillery-battle-in-ukraine-has-left-a-scar-that-is-visible-from-sp,ukraine-scar.jpg,FALSE
story,story,"April 19, 2023","The Meltdown: Melting glaciers are leaving behind large, unstable lakes around the world.","Blender, raster image processing, archival map research",https://apps.npr.org/arctic-ice-melting-climate-change/nepal-rolwaling-river-glacier.html,nepal-mtn-1.mp4,TRUE
story,story,"April 19, 2023",Sea change: How melting ice is disrupting the world’s oceans,,https://apps.npr.org/arctic-ice-melting-climate-change/greenland-whales.html,greenland.jpg,FALSE
story,story,"February 13, 2023",Disappearing Saint Louis,,https://apps.npr.org/saint-louis-senegal-climate-change/,saint-louis.mp4,FALSE
story,story,"February 6, 2023",Climate ripples and the rise of the right,,https://apps.npr.org/climate-migration-senegal-morocco-spain/,10_10_SENEGAL_EDIT.jpg,FALSE
story,story,"September 20, 2022",Foraging helped me discover a world of free fruits and veggies,Personal essay with hand drawn watercolored maps,https://www.npr.org/2022/09/20/1116495588/free-fruit-vegetables-foraging,foraging.jpg,FALSE
story,story,"April 24, 2022",A community of seed savers has a recipe to revive rare varieties of collard greens,,https://www.npr.org/2022/04/24/1093167996/gardening-collard-greens-seed-savers-heirloom-collard-project-food-recipes,ira.jpg,FALSE
story,story,"August 10, 2021",United States of Wildfire,,https://apps.npr.org/us-wildfires-impact-environment-climate-change/,wildfire.jpg,FALSE
story,story,"July 20, 2020",Whales Get A Break As Pandemic Creates Quieter Oceans,,https://www.npr.org/2020/07/20/891854646/whales-get-a-break-as-pandemic-creates-quieter-oceans,whale1.png,
story,story,"November 13, 2020",Philadelphia's Suburbs Helped Deliver Crucial Pennsylvania For Biden,,https://www.npr.org/2020/11/13/934372249/philadelphias-suburbs-helped-deliver-crucial-pennsylvania-for-biden,burbs.png,FALSE
story,story,"December 8, 2019",Big Money Is Building A New Kind Of National Park In The Great Plains,,https://www.npr.org/2019/12/08/780911812/big-money-is-building-a-new-kind-of-national-park-in-the-great-plains,apr.png,FALSE
blog,Blog,November 2024,"Self-hosted slippy maps, for novices (like me)",How we built our own explorable tile map without paying a fortune.,https://blog.apps.npr.org/2024/11/26/slippy-maps.html,,
blog,NACIS 2024,October 2024,"If this idiot can self-host his own custom tiles, you can too (for cheap!)",Conference talk delving into NPR's recent use of protomaps and pmtiles to make slippy maps for our USDA plant hardiness story. Recording and blog forthcoming.,https://www.youtube.com/watch?v=Abbto_9nNtc&ab_channel=NACIS,,
blog,Blog,February 2024,How we used gigabytes of shipping data to show risks to endangered whales,A look inside the process we used to evaluate the threat that shipping poses to Rice's whales. With Nicholas McMillan and Chiara Eisner.,https://blog.apps.npr.org/2024/02/12/rices-whales.html,,
blog,Blog,November 2023,How to set up your mac to develop news applications like we do,"This blog is a living document dating back to 2013. Each time someone onboards, they contribute to the blog to keep it up to date.  When my machine crapped out in 2023, I got to overhaul the blog, bringing it in line with our current set of tools. It's due for another round of updates now that Anaconda is limiting it's free tier of use. ",https://blog.apps.npr.org/2013/06/06/how-to-setup-a-developers-environment.html,,
blog,NACIS 2021,October 2021,Tools for attractive and fast web-based maps: peaking inside NPR’s workflow,"My chaotic attempt to share some of the secret sauce that allows us at NPR to make maps on deadline, building on ai2html and other workflows. ",https://www.youtube.com/watch?v=S-vPGJJfoEI,,
blog,Blog,October 2021,"Building a beautiful and clear map from massive, complex data",An in-depth guide to how I processed a large raster dataset for United States of Wildfire feature.,https://blog.apps.npr.org/2021/10/01/wildfire-map.html,,